POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2420,0,12,18,12,15,22,4,10,0,89,7,8,3,3,5,5,4,11,11,65,91,268,217,172,286,311,90,242,48,1728
POA2421,6,4,3,4,5,8,4,4,0,46,0,7,0,10,3,7,0,4,7,36,59,145,130,80,138,198,73,172,20,1021
POA2422,8,18,8,0,5,20,3,12,0,72,13,18,18,3,19,11,3,8,31,123,109,339,292,198,347,354,86,304,78,2107
POA2423,0,7,5,5,3,5,0,6,0,29,6,8,0,8,9,13,0,6,15,75,84,222,184,111,177,183,46,154,36,1202
POA2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,9,19,30,17,22,22,6,18,10,155
POA2425,0,4,0,3,3,3,0,3,0,24,3,4,0,7,5,11,0,3,15,48,50,132,98,65,157,156,55,136,24,871
POA2426,0,0,0,0,4,0,0,0,0,14,0,6,4,0,4,0,0,6,7,20,16,44,45,30,65,43,18,55,21,332
POA2427,0,3,3,3,3,6,0,4,0,27,4,6,0,3,7,8,0,0,9,38,62,168,130,89,170,132,35,96,17,889
POA2428,10,65,47,39,62,52,14,32,4,328,25,62,44,21,46,36,12,27,93,374,454,1631,1272,858,1570,1372,402,730,213,8488
POA2429,8,23,16,9,39,33,4,16,0,155,11,15,15,16,34,13,5,18,35,155,188,602,483,386,721,666,189,484,91,3796
POA2430,19,82,61,41,109,111,27,57,5,515,31,63,52,44,84,69,7,41,132,516,682,2094,1835,1317,2672,2289,619,1372,328,13215
POA2431,0,18,11,4,8,11,4,4,0,62,3,8,6,0,10,11,4,0,15,66,124,373,246,163,363,321,79,173,33,1872
POA2439,0,9,8,3,18,23,4,3,0,73,5,8,0,6,4,10,0,8,16,50,75,259,207,142,315,246,67,157,32,1505
POA2440,8,38,41,24,76,36,18,32,4,280,13,54,34,17,62,54,7,29,99,361,422,1276,1139,818,1650,1354,351,860,236,8105
POA2441,4,10,3,5,6,14,7,11,0,58,0,7,8,5,11,12,0,6,21,79,89,331,243,149,308,280,66,220,56,1742
POA2443,7,12,19,12,23,16,4,10,0,108,8,13,11,8,23,14,4,9,19,100,142,475,385,237,493,431,127,275,56,2620
POA2444,32,152,94,73,176,164,46,64,11,810,35,109,42,38,114,105,19,53,138,660,1060,3804,2667,2113,4514,4000,1096,2126,309,21692
POA2445,0,30,16,12,22,19,5,9,0,120,4,12,8,7,22,21,0,5,23,97,169,511,379,308,626,546,166,301,45,3050
