POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA4799,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,4,22,4,4,12,5,14,0,12,0,64,13,157
POA4800,0,0,0,60,0,5,0,0,0,0,0,0,0,12,74,93,0,0,5,3,0,0,0,0,0,9,12,27,231,52,13,183,19,106,17,90,18,397,95,1209
POA4802,4,8,0,91,0,0,0,0,0,0,0,0,0,4,116,127,0,0,0,5,0,0,0,3,0,3,11,21,300,101,3,213,27,92,19,112,15,302,133,1321
POA4804,0,0,0,17,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,5,10,34,9,5,26,0,28,0,16,7,68,27,218
POA4805,0,3,0,69,0,0,0,0,0,0,0,0,0,0,77,87,4,0,0,0,0,0,0,0,0,10,14,27,297,47,7,173,24,119,14,87,24,465,101,1352
POA4806,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,6,10,21,101,16,8,66,9,59,4,34,6,207,25,530
POA4807,0,4,0,69,0,0,0,0,0,0,0,3,0,10,70,93,3,0,0,3,0,0,0,0,4,11,6,37,282,43,7,212,30,127,7,74,18,435,92,1329
POA4808,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,3,0,3,30,6,0,19,0,17,0,13,5,41,4,132
POA4809,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,17,0,16,0,7,0,50,0,121
POA4810,4,23,0,384,4,0,0,0,0,3,0,0,0,3,166,183,0,0,0,4,0,0,0,0,0,16,17,35,709,115,13,382,39,270,16,158,31,599,189,2523
