POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2126,15,19,26,53,54,65,24,4,0,256,11,24,59,108,80,57,15,5,3,354,476,803,1107,2150,2323,1785,539,61,4,9248
POA2127,0,23,136,95,48,26,8,0,0,330,9,55,337,200,79,51,8,0,0,746,148,853,5358,3754,1700,933,281,17,3,13048
POA2128,0,4,11,20,13,6,4,0,0,52,0,4,20,29,16,5,0,0,0,72,24,79,307,319,178,119,28,0,0,1060
POA2130,4,4,36,26,19,7,8,0,0,111,0,12,42,50,24,13,10,0,0,150,75,329,1386,1066,806,501,143,13,0,4318
POA2131,0,29,95,74,57,51,13,0,0,323,3,57,229,108,75,40,23,7,0,545,218,1260,4048,2737,1859,1383,387,29,5,11925
POA2132,4,16,36,23,32,32,11,0,0,150,4,21,54,58,49,31,14,0,0,227,154,443,1103,1090,1142,820,208,26,3,4995
POA2133,0,11,52,39,39,32,16,0,0,183,5,12,40,45,38,24,5,0,0,173,205,423,958,1087,1222,829,223,15,0,4961
POA2134,0,23,52,30,24,27,8,7,0,180,3,98,257,89,81,52,12,0,0,595,152,1440,3317,1479,1032,817,200,28,4,8467
POA2135,3,33,75,54,49,43,8,6,0,266,9,145,268,137,76,80,13,7,0,734,321,2449,4238,2096,1851,1684,579,113,15,13347
POA2136,0,14,22,26,29,26,8,0,0,131,3,18,54,40,42,40,3,4,0,200,116,329,806,831,754,593,162,21,8,3610
POA2137,11,26,101,88,98,91,32,0,0,448,8,38,135,147,111,88,36,8,0,575,462,1144,2998,3099,3024,2334,750,106,9,13924
POA2138,4,15,75,53,42,37,11,0,0,244,11,38,235,159,65,44,17,0,0,565,236,858,3990,2769,1456,961,254,25,0,10556
POA2140,5,22,91,61,36,28,6,0,0,247,3,87,334,185,70,47,10,0,0,737,150,1328,4886,2742,1040,711,163,19,0,11034
POA2141,4,27,117,86,62,59,14,0,0,375,14,131,443,244,168,138,30,0,3,1164,261,1628,4854,2912,2136,1796,448,22,6,14060
POA2142,3,30,102,65,41,30,6,0,0,280,9,127,278,149,95,70,12,5,0,745,266,1522,3874,2450,1382,928,231,26,0,10685
POA2143,4,13,25,32,30,15,13,0,0,129,5,21,88,48,62,32,5,0,0,263,101,381,944,743,606,565,120,6,0,3470
POA2144,5,49,96,57,52,38,9,3,0,312,34,233,482,234,183,135,31,0,0,1335,353,2422,4703,2556,1649,1315,287,21,0,13300
POA2145,35,68,230,230,192,155,36,5,0,957,45,217,685,602,311,180,48,10,3,2098,1169,3249,10014,11703,6615,4282,1071,72,13,38193
POA2146,10,18,58,51,50,43,10,0,0,249,9,46,156,151,76,51,16,3,0,504,338,721,2142,2533,1706,1153,271,26,0,8895
POA2147,31,35,121,124,125,103,19,6,0,567,23,72,230,205,147,114,28,5,0,824,705,1517,3642,4163,3393,2448,632,44,6,16542
POA2148,30,91,235,201,175,130,28,3,0,891,36,220,542,493,338,191,60,3,3,1891,1068,3119,7896,7534,5021,3628,887,55,9,29215
POA2150,0,36,130,83,37,41,9,0,0,334,10,112,437,263,92,62,8,3,0,997,202,1874,8030,5399,1669,1046,244,26,0,18480
POA2151,4,24,63,71,85,50,11,0,0,317,8,41,109,132,67,55,13,3,0,427,301,759,2198,2728,2077,1405,377,50,0,9886
POA2152,3,10,30,38,40,29,7,0,0,161,8,8,44,68,46,22,6,0,0,207,228,378,1163,1445,1156,709,191,26,0,5295
POA2153,36,96,142,187,208,144,59,9,0,892,27,94,225,403,294,180,56,9,0,1272,1364,2445,4980,8586,6941,4488,1372,147,16,30336
POA2154,27,49,67,128,112,99,43,8,0,526,26,65,134,216,215,122,42,13,0,843,910,1710,2749,4721,4697,3296,1107,155,8,19349
POA2155,71,146,228,278,326,136,44,6,0,1234,46,140,338,560,413,210,56,7,0,1770,2213,3619,6848,11603,9471,4620,1129,83,3,39587
POA2156,21,42,35,41,63,58,27,6,0,293,12,23,49,44,80,52,30,7,0,300,474,703,737,1094,1650,1258,502,99,0,6521
POA2157,5,12,15,8,25,11,9,0,0,91,7,8,15,24,29,20,6,0,0,105,145,203,279,389,494,389,140,11,3,2058
POA2158,8,14,31,27,42,41,13,0,0,178,8,20,32,25,49,31,14,7,0,191,237,400,573,693,1070,836,285,68,5,4173
POA2159,8,13,10,19,23,32,0,0,0,103,4,7,15,19,48,21,9,4,0,121,158,198,342,406,598,526,199,34,6,2461
POA2160,10,36,84,69,102,60,10,3,0,367,23,97,300,214,143,125,28,0,0,929,462,1494,3705,2974,2137,1670,377,34,4,12855
