POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2228,240,160,187,208,181,125,108,103,56,1363,3685,2262,2756,2982,2707,2287,1884,1492,941,21001
POA2229,435,232,265,266,310,222,160,103,160,2160,5893,3540,3607,4014,4221,3679,3064,1873,1050,30943
POA2230,294,231,289,254,278,315,212,127,124,2134,4444,3391,4508,3735,4088,4438,3578,1729,792,30690
POA2231,43,28,11,29,36,23,14,12,4,207,596,309,243,361,368,295,209,118,35,2528
POA2232,366,236,262,266,277,237,163,137,78,2024,6377,3944,4831,5110,4801,3877,3072,2258,1025,35304
POA2233,309,211,127,186,221,161,162,135,92,1600,6232,3677,2727,4184,4214,3337,2958,1916,707,29960
POA2234,282,206,132,174,211,216,128,56,26,1437,5709,4141,3049,3616,4185,4725,3451,1299,479,30648
POA2250,901,625,631,587,641,623,444,321,257,5021,12586,8241,8788,9066,9117,8942,7267,4713,2431,71168
POA2251,424,232,163,240,276,263,222,182,156,2156,6094,3621,2715,3814,4493,4652,4356,2797,1173,33721
POA2256,221,152,152,121,166,172,159,118,49,1314,2367,1486,1650,1807,2030,2295,2192,1555,653,16039
POA2257,477,259,238,283,316,313,327,218,87,2516,5035,2820,2633,3642,3838,4244,4384,2789,1015,30403
POA2258,69,70,29,44,54,51,26,8,15,366,955,689,578,660,748,795,517,239,75,5253
POA2259,1145,725,592,630,640,520,525,451,297,5520,12638,8266,7432,7870,8500,7909,7168,4772,1678,66236
POA2260,343,206,196,251,220,235,192,105,51,1791,4926,3037,2417,3248,3659,3332,3082,1663,467,25845
POA2261,908,542,514,553,533,538,488,368,296,4745,9940,5870,6391,6600,6678,7161,6720,3917,1851,55129
POA2262,402,244,229,231,249,200,150,114,48,1870,4202,2532,2846,2350,2637,2660,2239,1484,451,21411
POA2263,469,285,290,264,270,258,199,174,72,2289,4121,2639,2953,2625,2833,3237,3153,2089,910,24554
POA2264,262,145,133,125,125,140,133,108,44,1213,2631,1760,1726,1634,1834,2159,2167,1635,620,16162
POA2265,111,75,52,54,39,52,41,38,28,486,1465,835,975,814,807,841,813,568,344,7464
POA2267,52,26,16,27,26,36,40,22,9,256,422,234,231,302,319,482,560,304,79,2920
POA2278,26,17,19,22,19,19,16,5,0,147,476,325,335,343,333,378,296,62,15,2565
POA2280,380,206,186,184,240,220,186,131,73,1797,4722,3068,2670,3087,3550,3668,3501,2098,820,27183
POA2281,167,134,77,116,117,176,144,89,45,1068,2467,1511,1161,1662,2000,2379,2291,1364,494,15323
POA2282,165,121,71,98,132,127,116,71,48,948,2806,1848,1255,1948,2229,2131,2093,1389,450,16146
POA2283,387,219,194,194,234,233,211,136,79,1891,3906,2668,2449,2447,3039,3507,3592,2054,746,24419
POA2284,202,105,90,144,125,112,102,126,119,1112,2204,1380,1589,1541,1553,1675,1378,872,425,12612
POA2285,515,278,313,289,286,200,138,118,52,2185,6978,4093,4962,4943,4153,3473,2895,1699,669,33869
POA2286,80,43,38,41,32,43,26,19,3,332,920,578,708,562,556,549,510,253,55,4690
