POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2337,24,140,26,67,8,291,27,6,83,59,97,11,279,6,7,10,10,43,5,75,0,4,3,10,86,0,115,0,0,13,0,35,16,61,98,61,552,389,1371,119,2580
POA2338,3,16,5,12,0,38,4,3,16,8,26,5,62,0,0,0,0,0,0,3,0,0,0,0,13,0,16,0,0,0,8,7,5,15,18,10,76,63,208,27,405
POA2339,0,10,0,5,0,18,0,0,7,0,3,0,15,0,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,4,3,8,6,0,45,20,85,14,169
POA2340,184,901,305,389,27,2044,386,207,1175,636,1105,98,3605,3,0,32,20,74,4,132,12,11,49,101,527,28,731,14,3,39,49,262,75,446,999,595,3706,2460,7430,587,15769
POA2341,4,9,3,5,0,26,0,0,6,7,21,0,44,0,0,0,0,3,0,5,0,0,0,3,15,0,15,0,0,0,0,5,0,8,10,5,38,28,167,13,257
POA2342,0,8,3,6,0,15,0,0,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,8,8,0,30,28,74,5,149
POA2343,6,64,21,42,0,144,8,10,52,44,80,12,205,0,0,0,0,3,0,3,0,0,5,6,40,0,52,0,0,5,6,20,8,40,45,24,262,192,673,65,1259
POA2344,5,11,4,0,0,24,0,4,10,5,8,0,27,0,0,0,0,0,0,6,0,0,0,3,13,0,15,0,0,0,0,3,0,5,8,4,50,34,123,17,237
POA2345,0,17,0,3,0,24,3,0,14,6,11,0,38,0,0,0,0,0,0,0,0,0,0,5,10,0,13,0,0,5,0,14,5,23,3,8,50,31,121,14,239
POA2346,5,31,8,27,4,78,7,3,29,38,50,10,140,0,0,0,0,3,0,0,0,0,0,0,22,0,31,0,0,0,4,12,6,24,26,14,119,109,420,42,736
POA2347,3,27,5,12,0,49,5,0,20,12,32,3,77,0,0,0,0,0,0,0,0,0,0,3,11,0,13,0,0,0,0,6,8,14,8,10,86,59,198,21,385
POA2350,201,753,217,270,34,2225,246,107,588,259,367,34,1596,10,10,29,17,35,5,93,17,3,59,38,178,8,301,33,0,47,27,70,31,207,1547,468,2548,1140,2766,230,8696
POA2352,15,45,14,34,0,116,10,9,57,33,82,5,190,0,0,0,0,3,0,6,0,4,4,3,32,0,47,0,0,3,7,15,3,27,32,31,164,133,528,25,906
